ean,title,brand,price,productUrl,imageUrl,packSize
8000000001204,Jordan Clean Slim opzetborstels 4 + 0,Jordan,6.68,https://www.bol.com/nl/p/clean-slim/8000000001204/,https://example-cdn.test/images/8000000001204.jpg,
8000000001302,Jordan Target Sensitive opzetborstels duopack 2 stuks,Jordan,3.24,https://www.bol.com/nl/p/target-sensitive/8000000001302/,https://example-cdn.test/images/8000000001302.jpg,
8000000001399,Jordan Target Sensitive opzetborstels multipack,Jordan,4.80,https://www.bol.com/nl/p/multipack/8000000001399/,https://example-cdn.test/images/8000000001399.jpg,
8000000001404,Opzetborstels geschikt voor Oral-B CrossAction 4 stuks,Generiek,4.28,https://www.bol.com/nl/p/compatible-crossaction/8000000001404/,https://example-cdn.test/images/8000000001404.jpg,
8000000001408,Opzetborstels geschikt voor Oral-B CrossAction 8-pack,Generiek,8.16,https://www.bol.com/nl/p/compatible-crossaction/8000000001408/,https://example-cdn.test/images/8000000001408.jpg,
8000000001508,Vervangende opzetborstels geschikt voor Oral-B Precision Clean 4 + 4,Generiek,9.44,https://www.bol.com/nl/p/compatible-precision-clean/8000000001508/,https://example-cdn.test/images/8000000001508.jpg,
8000000001604,Compatible opzetborstels geschikt voor Philips Sonicare set van 4,Generiek,4.52,https://www.bol.com/nl/p/compatible-sonicare/8000000001604/,https://example-cdn.test/images/8000000001604.jpg,
8000000001608,Compatible opzetborstels geschikt voor Philips Sonicare 8 stuks,Generiek,8.64,https://www.bol.com/nl/p/compatible-sonicare/8000000001608/,https://example-cdn.test/images/8000000001608.jpg,
8000000001704,Huismerk opzetborstels geschikt voor Oral-B iO 4-pack,Generiek,4.12,https://www.bol.com/nl/p/compatible-io/8000000001704/,https://example-cdn.test/images/8000000001704.jpg,
8000000001802,Alternatief voor Philips Sonicare DiamondClean opzetborstels (x2),Generiek,2.38,https://www.bol.com/nl/p/compatible-diamondclean/8000000001802/,https://example-cdn.test/images/8000000001802.jpg,
8000000001804,Alternatief voor Philips Sonicare DiamondClean opzetborstels set van 4,Generiek,4.56,https://www.bol.com/nl/p/compatible-diamondclean/8000000001804/,https://example-cdn.test/images/8000000001804.jpg,
8000000001902,Oral-B Floss Action opzetborstels 2 stuks,Oral-B,3.98,https://www.bol.com/nl/p/floss-action/8000000001902/,https://example-cdn.test/images/8000000001902.jpg,
8000000001904,Oral-B Floss Action opzetborstels 4-pack,Oral-B,7.76,https://www.bol.com/nl/p/floss-action/8000000001904/,https://example-cdn.test/images/8000000001904.jpg,
8000000001908,Oral-B Floss Action opzetborstels 4 + 4,Oral-B,16.80,https://www.bol.com/nl/p/floss-action/8000000001908/,https://example-cdn.test/images/8000000001908.jpg,
8000000001999,Oral-B Floss Action opzetborstels multipack,Oral-B,6.00,https://www.bol.com/nl/p/multipack/8000000001999/,https://example-cdn.test/images/8000000001999.jpg,
8000000002002,Oral-B 3D White opzetborstels duopack 2 stuks,Oral-B,4.10,https://www.bol.com/nl/p/3d-white/8000000002002/,https://example-cdn.test/images/8000000002002.jpg,
8000000002004,Oral-B 3D White opzetborstels 4 stuks,Oral-B,8.00,https://www.bol.com/nl/p/3d-white/8000000002004/,https://example-cdn.test/images/8000000002004.jpg,
8000000002102,Philips Sonicare HX9024 opzetborstels 2-pack,Philips Sonicare,4.70,https://www.bol.com/nl/p/hx9024/8000000002102/,https://example-cdn.test/images/8000000002102.jpg,
8000000002104,Philips Sonicare HX9024 opzetborstels 4 + 0,Philips Sonicare,9.20,https://www.bol.com/nl/p/hx9024/8000000002104/,https://example-cdn.test/images/8000000002104.jpg,
8000000002204,Geschikt voor Oral-B Floss Action opzetborstels set van 4,Generiek,4.64,https://www.bol.com/nl/p/compatible-floss-action/8000000002204/,https://example-cdn.test/images/8000000002204.jpg,
8000000002208,Geschikt voor Oral-B Floss Action opzetborstels 8 stuks,Generiek,8.88,https://www.bol.com/nl/p/compatible-floss-action/8000000002208/,https://example-cdn.test/images/8000000002208.jpg,
